aéroport,ville,gare code
AJACCIO-NAPOLEON-BONAPARTE,Ajaccio,0
AJACCIO/NAPOLEON-BONAPARTE,Ajaccio,0
ANNECY-MEYTHET,Annecy,74010
AVIGNON-CAUMONT,Avignon,84007
BALE-MULHOUSE,Mulhouse,68224
BASTIA-PORETTA,Bastia,0
BASTIA/PORETTA,Bastia,0
BEAUVAIS-TILLE,Beauvais,60057
BERGERAC-ROUMANIERE,Bergerac,24037
BEZIERS-VIAS,Béziers,34032
BIARRITZ-BAYONNE-ANGLET,Biarritz,64122
BORDEAUX-MERIGNAC,Bordeaux,33063
BREST-BRETAGNE,Brest,29019
CAEN-CARPIQUET,Caen,14118
CAEN/CARPIQUET,Caen,14118
CALVI-SAINTE-CATHERINE,Calvi,0
CARCASSONNE-SALVAZA,Carcassonne,11069
CHALONS-VATRY,Chalons-en-champagne,51108
CHAMBERY-AIX-LES-BAINS,Chambéry,73065
CLERMONT-FERRAND-AUVERGNE,Clermont-Ferrand,63113
DEAUVILLE-NORMANDIE,Deauville,14220
FIGARI-SUD-CORSE,Figari,0
GRENOBLE-ISERE,Grenoble,38185
HYERES-LE PALYVESTRE,Hyères,83069
LA ROCHELLE-ILE DE RE,La Rochelle,17300
LE HAVRE-OCTEVILLE,le Havre,76351
LILLE-LESQUIN,Lille,59350
LIMOGES-BELLEGARDE,Limoges,87085
LORIENT-LANN-BIHOUE,Lorient,56121
LYON SAINT-EXUPERY,Lyon,69123
MARSEILLE-PROVENCE,Marseille,13055
METZ NANCY-LORRAINE,Metz,57463
MONTPELLIER MEDITERRANEE,Montpellier,34172
MONTPELLIER-MEDITERRANEE,Montpellier,34172
NANTES ATLANTIQUE,Nantes,44109
NICE-COTE D'AZUR,Nice,6088
NIMES-GARONS,Nîmes,189
PARIS,Paris,75056
PARIS-CHARLES DE GAULLE,Paris,75056
PARIS-ORLY,Paris,75056
PAU-PYRENEES,Pau,64445
PERPIGNAN-RIVESALTES,Perpignan,66136
PERPIGNAN RIVESALTES,Perpignan,66136
POITIERS-BIARD,Poitiers,86194
QUIMPER-PLUGUFFAN,Quimper,29232
RENNES SAINT JACQUES,Rennes,35238
RODEZ-MARCILLAC,Rodez,12202
SAINT PIERRE PIERREFONDS,Vannes,56260
SAINT-ETIENNE-BOUTHEON,Saint-Etienne,42218
STRASBOURG-ENTZHEIM,Strasbourg,67482
TARBES LOURDES PYRENEES,Tarbes,65440
TOULOUSE/BLAGNAC,Toulouse,31555
TOURS VAL DE LOIRE,Tours,37261
